Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"FileData = toString().replaceAll(""\p{P}"", """")",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.001s,PASSED
assert ActualbakeryName.contains(FileData),Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:38,0.005s,FAILED
,,,,,,
Test Cases/General/OpenMethods/OpenBankAccDetailsScreenByCommunityEmpMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:39,0.612s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/DetailsButton""))",Chrome 77.0.3865.90,,2019-10-10 11:03:38,2019-10-10 11:03:39,0.216s,PASSED
,,,,,,
Test Cases/Reusable/Assertion/AssertOnEBCActionByCommunityEmployeeMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.676s,FAILED
EBCTableData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.001s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BankAccountReviewStatus.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.001s,PASSED
BankAccountReviewstatus = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.002s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountNameReview.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.000s,PASSED
ActualAccountNameStatus = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.003s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ResultOfAccountnumberReview.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.002s,PASSED
ActualAccountNumberStatus = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.002s,PASSED
"EBCTableData = getText(findTestObject(""ReviewAddBankAcc/Page_/TableConfirmationData""))",Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.140s,PASSED
"SplitArrResult = EBCTableData.split(""
"")",Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.001s,PASSED
BankAccountReviewStatus = SplitArrResult[1],Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.001s,PASSED
assert BankAccountReviewstatus.contains(BankAccountReviewStatus),Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:39,0.003s,FAILED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/AcceptBankAccRequestByCommunityEmpMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:39,2019-10-10 11:03:40,0.473s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/AcceptButton""))",Chrome 77.0.3865.90,,2019-10-10 11:03:40,2019-10-10 11:03:40,0.130s,PASSED
,,,,,,
Test Cases/General/CloseMethod/CloseBrowserMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:40,2019-10-10 11:03:41,0.855s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,2019-10-10 11:03:40,2019-10-10 11:03:41,0.845s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:41,2019-10-10 11:03:51,10.171s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-10 11:03:41,2019-10-10 11:03:44,2.951s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 77.0.3865.90,,2019-10-10 11:03:44,2019-10-10 11:03:45,1.785s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,2019-10-10 11:03:45,2019-10-10 11:03:46,1.168s,PASSED
